Group,Variable,RelDay,Mean,Std,N,SEM
True onset,SLA_z,-30,1.80003347704707,1.29636830796118,46,0.19113907922301
True onset,SLA_z,-29,1.80225861785291,1.29748397203595,46,0.191303574916606
True onset,SLA_z,-28,1.80454138288176,1.29626501527691,46,0.191123849547585
True onset,SLA_z,-27,1.81095882636399,1.29505575739839,46,0.19094555420048
True onset,SLA_z,-26,1.81844132043761,1.28887012878444,46,0.190033533017591
True onset,SLA_z,-25,1.82984629091708,1.28129011114962,46,0.188915920389826
True onset,SLA_z,-24,1.84487571621081,1.2744145008779,46,0.187902166961605
True onset,SLA_z,-23,1.86160163194004,1.26991989775156,46,0.187239473884517
True onset,SLA_z,-22,1.86458809516085,1.25739036398126,47,0.183409234751661
True onset,SLA_z,-21,1.87498012150746,1.25800379603658,47,0.183498713013194
True onset,SLA_z,-20,1.87862479191069,1.25777508629005,47,0.183465352267961
True onset,SLA_z,-19,1.8755880564372,1.25446020851263,47,0.182981827649142
True onset,SLA_z,-18,1.86754803418698,1.24584054179013,47,0.18172452003595
True onset,SLA_z,-17,1.85807049408655,1.23042155472487,47,0.179475429618769
True onset,SLA_z,-16,1.8514488945014,1.20776029119967,47,0.176169944607335
True onset,SLA_z,-15,1.85148005908096,1.17871258568041,47,0.171932901288735
True onset,SLA_z,-14,1.86074857523466,1.14559349933514,47,0.167101986040563
True onset,SLA_z,-13,1.87974868971775,1.11209849650026,47,0.162216237736832
True onset,SLA_z,-12,1.90663839491996,1.08293421784137,47,0.157962190478211
True onset,SLA_z,-11,1.93813359273802,1.06254637714705,47,0.154988318268673
True onset,SLA_z,-10,1.96991126554523,1.05420478127147,47,0.153771571457202
True onset,SLA_z,-9,2.04790051488604,1.0139296351695,46,0.149495768812812
True onset,SLA_z,-8,2.02230165498359,1.07290553571989,47,0.156499356845826
True onset,SLA_z,-7,2.04062788264484,1.09590841224213,47,0.159854671234169
True onset,SLA_z,-6,2.05582471604758,1.12119986206376,47,0.163543808347371
True onset,SLA_z,-5,2.07056730930136,1.14395570203797,47,0.166863088751736
True onset,SLA_z,-4,2.08731723843619,1.16012885422232,47,0.1692221854576
True onset,SLA_z,-3,2.10808899253207,1.16767882858141,47,0.170323462403299
True onset,SLA_z,-2,2.13332833885293,1.16722583304411,47,0.170257386213102
True onset,SLA_z,-1,2.16176315862124,1.16175550279369,47,0.169459456537634
True onset,SLA_z,0,2.1916984942603,1.15501898428952,47,0.168476834323297
True onset,SLA_z,1,2.22765973917789,1.16236101320406,46,0.171380781544995
True onset,SLA_z,2,2.24427124993067,1.15116408049429,47,0.167914538813981
True onset,SLA_z,3,2.2614703837352,1.15643289014832,47,0.16868307368937
True onset,SLA_z,4,2.27070515736899,1.16487887714147,47,0.169915047510318
True onset,SLA_z,5,2.27157208672092,1.17426462929297,47,0.171284100168097
True onset,SLA_z,6,2.26511554957542,1.18208489750647,47,0.172424803524571
True onset,SLA_z,7,2.25267014702127,1.18696383770277,47,0.173136470094823
True onset,SLA_z,8,2.2365591240852,1.18838861022169,47,0.173344294526181
True onset,SLA_z,9,2.2191273989637,1.18679886705775,47,0.17311240665309
True onset,SLA_z,10,2.20188559750226,1.18315555113362,47,0.172580974406792
True onset,SLA_z,11,2.18628459260966,1.17805592097323,47,0.171837116896805
True onset,SLA_z,12,2.17241668588654,1.17212247591514,47,0.170971634983853
True onset,SLA_z,13,2.15975636933608,1.16578598586504,47,0.170047362916568
True onset,SLA_z,14,2.14703320415995,1.15961937773001,47,0.169147870673381
True onset,SLA_z,15,2.13900402658385,1.16624267822131,46,0.171953101828276
True onset,SLA_z,16,2.11712450970231,1.15058761887449,47,0.16783045324471
True onset,SLA_z,17,2.09821065795328,1.15055181318713,47,0.167825230448427
True onset,SLA_z,18,2.05259392438563,1.1556413729682,46,0.170390024643963
True onset,SLA_z,19,2.02837826356953,1.1638921749302,46,0.171606539025087
True onset,SLA_z,20,2.00419291279445,1.1773952829583,46,0.17359746368692
True onset,SLA_z,21,1.98199237271239,1.19536094290056,46,0.176246355732422
True onset,SLA_z,22,1.96330766981489,1.2165736857195,46,0.179374004029056
True onset,SLA_z,23,1.94917108994431,1.2394227939692,46,0.182742921245787
True onset,SLA_z,24,1.93958152673575,1.26186904920718,46,0.186052441026427
True onset,SLA_z,25,1.93383151867576,1.28175446951631,46,0.188984386295767
True onset,SLA_z,26,1.93095832088146,1.29704754075483,46,0.191239226634791
True onset,SLA_z,27,1.92995138160958,1.30608944992728,46,0.192572383410552
True onset,SLA_z,28,1.93009776261679,1.30834202488152,46,0.19290450746819
True onset,SLA_z,29,1.93071893635351,1.30338398882757,46,0.192173484933709
True onset,SLA_z,30,1.93208987056403,1.29160532067132,46,0.190436815059852
True onset,SLA_anom,-30,0.0464821108627856,0.0321930911476248,46,0.00474661233347871
True onset,SLA_anom,-29,0.0465880678388758,0.0324245619386209,46,0.00478074083969589
True onset,SLA_anom,-28,0.0466705739028652,0.0325754598954045,46,0.00480298952962384
True onset,SLA_anom,-27,0.0468307936057618,0.0326837066060126,46,0.00481894963638324
True onset,SLA_anom,-26,0.0470009338362476,0.0326341526865821,46,0.00481164330956726
True onset,SLA_anom,-25,0.0472499882369356,0.032489882880721,46,0.00479037188717701
True onset,SLA_anom,-24,0.0475793510699751,0.0323144268146104,46,0.00476450230157042
True onset,SLA_anom,-23,0.047945485204822,0.0321582795397303,46,0.00474147964191384
True onset,SLA_anom,-22,0.0482239890043167,0.0316994635980429,47,0.00462384198821635
True onset,SLA_anom,-21,0.048437549795273,0.0316254663828325,47,0.00461304838504881
True onset,SLA_anom,-20,0.0484798967768475,0.0315416260847716,47,0.00460081902068498
True onset,SLA_anom,-19,0.0483522246977816,0.0314029095312666,47,0.00458058513178735
True onset,SLA_anom,-18,0.0481047738357451,0.0311677547969901,47,0.00454628428847143
True onset,SLA_anom,-17,0.0478386712666596,0.0308071256866667,47,0.00449368112636021
True onset,SLA_anom,-16,0.0476683203051154,0.0303067948231977,47,0.00442070036921416
True onset,SLA_anom,-15,0.047688102357488,0.0296722044637317,47,0.00432813585182601
True onset,SLA_anom,-14,0.0479546936428521,0.028939213329898,47,0.00422121810632133
True onset,SLA_anom,-13,0.0484669567951498,0.0281779109233657,47,0.00411017073726516
True onset,SLA_anom,-12,0.0491647064755693,0.027490523067092,47,0.00400990491345405
True onset,SLA_anom,-11,0.0499529323213919,0.0269791669559725,47,0.0039353159586532
True onset,SLA_anom,-10,0.0507167845454325,0.026721741433856,47,0.00389776658705834
True onset,SLA_anom,-9,0.0526313443935671,0.0255686949747233,46,0.00376989840340109
True onset,SLA_anom,-8,0.0518634169286896,0.0269645489549286,47,0.00393318370405523
True onset,SLA_anom,-7,0.052196520519387,0.0273775774134784,47,0.00399343009664998
True onset,SLA_anom,-6,0.0524344567483434,0.0278301161587859,47,0.00405943965688673
True onset,SLA_anom,-5,0.0526584611630397,0.0282190668381383,47,0.00411617394442356
True onset,SLA_anom,-4,0.0529453586774244,0.02846692167827,47,0.00415232728857208
True onset,SLA_anom,-3,0.0533581983653855,0.0285456823481481,47,0.00416381571301423
True onset,SLA_anom,-2,0.0539157765834033,0.028479969573785,47,0.00415423051974045
True onset,SLA_anom,-1,0.0545901931126617,0.0283360229664634,47,0.00413323374908733
True onset,SLA_anom,0,0.0553295448222753,0.0281821388806308,47,0.0041107874482157
True onset,SLA_anom,1,0.0562553334862155,0.0283441130424356,46,0.00417911147245224
True onset,SLA_anom,2,0.0566770381022107,0.0280151765585978,47,0.00408643349053188
True onset,SLA_anom,3,0.057122997283678,0.0280152845689917,47,0.00408644924546707
True onset,SLA_anom,4,0.0573637877027023,0.028026527178463,47,0.00408808914860201
True onset,SLA_anom,5,0.0573892202129356,0.0280132642829489,47,0.00408615455646062
True onset,SLA_anom,6,0.0572241326061432,0.0279463611097552,47,0.00407639572567153
True onset,SLA_anom,7,0.05690909520382,0.0278246027119313,47,0.00405863543800815
True onset,SLA_anom,8,0.056506627779182,0.0276671351188922,47,0.00403566642888831
True onset,SLA_anom,9,0.0560806752981361,0.0275072747577169,47,0.00401234839866463
True onset,SLA_anom,10,0.0556782959483741,0.0273771618755612,47,0.00399336948421522
True onset,SLA_anom,11,0.0553396212580636,0.0272916955925622,47,0.00398090294557222
True onset,SLA_anom,12,0.0550656956406536,0.0272519325907072,47,0.0039751029156447
True onset,SLA_anom,13,0.0548348372890177,0.0272517634738962,47,0.0039750782474225
True onset,SLA_anom,14,0.0546054006548378,0.0272880116047532,47,0.00398036558072178
True onset,SLA_anom,15,0.0545102608591437,0.0276338910953776,46,0.00407439495927387
True onset,SLA_anom,16,0.0540057800774538,0.0274611354347899,47,0.00400561828671816
True onset,SLA_anom,17,0.0535725250707975,0.0276201407966499,47,0.00402881160247399
True onset,SLA_anom,18,0.0524780280180511,0.0278565133425715,46,0.00410721881888373
True onset,SLA_anom,19,0.051899797985335,0.0281356698766822,46,0.00414837820434644
True onset,SLA_anom,20,0.0513046233387723,0.0284907884893733,46,0.00420073758726863
True onset,SLA_anom,21,0.0507478603282997,0.0289260487798081,46,0.00426491321592688
True onset,SLA_anom,22,0.0502752502314464,0.029433182531769,46,0.00433968600834818
True onset,SLA_anom,23,0.0499191466413215,0.029983910685796,46,0.00442088644468748
True onset,SLA_anom,24,0.0496861004501777,0.030532406909286,46,0.00450175780082242
True onset,SLA_anom,25,0.049563929242894,0.0310241638874345,46,0.00457426341163346
True onset,SLA_anom,26,0.049532429336792,0.0314070663298727,46,0.00463071929676304
True onset,SLA_anom,27,0.049569411361741,0.0316405403864996,46,0.00466514316838353
True onset,SLA_anom,28,0.0496573533203587,0.0317095379984712,46,0.00467531631126263
True onset,SLA_anom,29,0.0497826390589233,0.0316164446477765,46,0.00466159044553119
True onset,SLA_anom,30,0.0499479736000402,0.0313760725606187,46,0.00462614951479562
True onset,T100_z,-30,0.954673604068993,0.630264149857199,46,0.0929273791492487
True onset,T100_z,-29,0.953350829141929,0.6321715520672,46,0.0932086102622654
True onset,T100_z,-28,0.959889981970353,0.630176361695608,46,0.0929144354909764
True onset,T100_z,-27,0.967588185942424,0.626857843896119,46,0.0924251467350849
True onset,T100_z,-26,0.975127451815389,0.61242109996777,46,0.0902965649697818
True onset,T100_z,-25,0.977870642790762,0.588260856852617,46,0.0867343314637058
True onset,T100_z,-24,0.985397069514899,0.569031897520449,46,0.0838991760849479
True onset,T100_z,-23,0.99724867183247,0.550964395593517,46,0.0812352682580087
True onset,T100_z,-22,1.02043403189211,0.547996395835621,47,0.0799334896194396
True onset,T100_z,-21,1.02060494697064,0.542666742418131,47,0.0791560797690108
True onset,T100_z,-20,1.01736929203527,0.533748711809098,47,0.0778552513100463
True onset,T100_z,-19,1.01342599588304,0.515106638510672,47,0.0751360254468682
True onset,T100_z,-18,1.01494705940197,0.50266780094846,47,0.0733216345116124
True onset,T100_z,-17,1.01716260825534,0.488880292747492,47,0.0713105197451011
True onset,T100_z,-16,1.01783292573602,0.47282838274451,47,0.0689691080289911
True onset,T100_z,-15,1.01905209366726,0.45274984348805,47,0.0660403520710575
True onset,T100_z,-14,1.02146746974618,0.42799702681711,47,0.0624297826778019
True onset,T100_z,-13,1.02880589835008,0.402675057171305,47,0.0587361937907065
True onset,T100_z,-12,1.03645252932806,0.374112226016074,47,0.0545698766670931
True onset,T100_z,-11,1.05793704951697,0.356740379811203,47,0.0520359324681169
True onset,T100_z,-10,1.07824026208585,0.340700909338117,47,0.0496963352439294
True onset,T100_z,-9,1.09412207274953,0.330088952499568,46,0.0486689608616572
True onset,T100_z,-8,1.10522779432259,0.314187625144449,47,0.0458289752704387
True onset,T100_z,-7,1.11852196473761,0.295058805412594,47,0.0430387501428869
True onset,T100_z,-6,1.1276793073588,0.262643875567042,47,0.0383105466765606
True onset,T100_z,-5,1.12697434471093,0.223483098056339,47,0.0325983601979111
True onset,T100_z,-4,1.12406478971002,0.185510137017624,47,0.027059434558849
True onset,T100_z,-3,1.1372258865122,0.151903208353743,47,0.0221573601950216
True onset,T100_z,-2,1.17674299543388,0.122846364224344,47,0.0179189838731311
True onset,T100_z,-1,1.24620270857402,0.110202280069037,47,0.0160746546453187
True onset,T100_z,0,1.33119879806703,0.115768110674048,47,0.0168865144791973
True onset,T100_z,1,1.40366273695225,0.13476513941579,46,0.0198700357769515
True onset,T100_z,2,1.45926802959675,0.155434485382997,47,0.0226724498888705
True onset,T100_z,3,1.48295897035841,0.175114974044877,47,0.0255431442002099
True onset,T100_z,4,1.4870406411186,0.198075017708122,47,0.0288922107739405
True onset,T100_z,5,1.47695878452001,0.212644792224529,47,0.0310174308099025
True onset,T100_z,6,1.4578700523914,0.215769049765573,47,0.0314731506095641
True onset,T100_z,7,1.43712971234623,0.21522854304866,47,0.031394309601897
True onset,T100_z,8,1.42000499262916,0.225474104246658,47,0.0328887782989341
True onset,T100_z,9,1.40992500349334,0.241709678720194,47,0.03525698023148
True onset,T100_z,10,1.40364358304075,0.255417929849649,47,0.0372565341659288
True onset,T100_z,11,1.4084654136266,0.265750271488759,47,0.0387636610912711
True onset,T100_z,12,1.41896313132002,0.289798549046623,47,0.0422714628927879
True onset,T100_z,13,1.42458827146741,0.327202872295655,47,0.0477274441854924
True onset,T100_z,14,1.42674937397641,0.36057628584244,47,0.0525954568687499
True onset,T100_z,15,1.42443951112688,0.384590862544653,46,0.0567048290928828
True onset,T100_z,16,1.42075496726473,0.39026959877792,47,0.0569266717076281
True onset,T100_z,17,1.40649378477368,0.388148031176852,47,0.0566172092675361
True onset,T100_z,18,1.38919302688614,0.38841081070323,46,0.0572680497217937
True onset,T100_z,19,1.36274557959717,0.392035207139301,46,0.0578024378222088
True onset,T100_z,20,1.33554081158735,0.403715069679772,46,0.0595245396027962
True onset,T100_z,21,1.31564051014955,0.414029423887877,46,0.0610453081637137
True onset,T100_z,22,1.30442713936967,0.418048251943467,46,0.0616378520336801
True onset,T100_z,23,1.30379609325698,0.418345764928885,46,0.0616817179302316
True onset,T100_z,24,1.31350155077352,0.429836302497841,46,0.0633759052666698
True onset,T100_z,25,1.32915268581824,0.447664742671778,46,0.0660045653611056
True onset,T100_z,26,1.34088920162167,0.457080559248994,46,0.067392851776046
True onset,T100_z,27,1.34190836941269,0.459607711497173,46,0.0677654600470187
True onset,T100_z,28,1.33625684208812,0.4598104304377,46,0.0677953493241597
True onset,T100_z,29,1.31942616685994,0.459931958248912,46,0.0678132676223721
True onset,T100_z,30,1.29757401241421,0.464926999168732,46,0.0685497462266641
True onset,D26_z,-30,1.03865159175204,0.922806984832709,46,0.136060466997137
True onset,D26_z,-29,1.05090184795041,0.929127538458723,46,0.136992381787739
True onset,D26_z,-28,1.06003123211052,0.911699946108468,46,0.134422823480547
True onset,D26_z,-27,1.06681729529832,0.894720659596497,46,0.131919364263107
True onset,D26_z,-26,1.06628425813041,0.872841329779685,46,0.128693433075558
True onset,D26_z,-25,1.06538806751144,0.844644458007106,46,0.124536031143961
True onset,D26_z,-24,1.06934865780127,0.816830789068131,46,0.120435129387753
True onset,D26_z,-23,1.06843682194768,0.791557514977961,46,0.11670878841746
True onset,D26_z,-22,1.08372326636292,0.776471522058268,47,0.113260011963387
True onset,D26_z,-21,1.08621383903831,0.763915662565707,47,0.111428551625255
True onset,D26_z,-20,1.083688457078,0.727510938963465,47,0.106118376926531
True onset,D26_z,-19,1.07646964870853,0.699422455852242,47,0.102021250576324
True onset,D26_z,-18,1.06051066995159,0.687173749853725,47,0.10023459317999
True onset,D26_z,-17,1.02466010566037,0.724335331607536,47,0.105655166986558
True onset,D26_z,-16,1.00580230970054,0.756397449919137,47,0.110331907601484
True onset,D26_z,-15,1.02729172247143,0.725928015552004,47,0.105887483816577
True onset,D26_z,-14,1.02904129298071,0.720070955647835,47,0.105033143823452
True onset,D26_z,-13,1.03375787615018,0.719666520759016,47,0.104974150931833
True onset,D26_z,-12,1.03832386820836,0.746406792737393,47,0.108874620476611
True onset,D26_z,-11,1.0475112565348,0.749232071463376,47,0.109286729733955
True onset,D26_z,-10,1.04126549134603,0.772664368756675,47,0.112704681579418
True onset,D26_z,-9,1.01308168560365,0.803867901964621,46,0.118523855955797
