Group,OnsetDate,Month,SSH_pre_z,D26_pre_z,T100_pre_z,T100_excess_pre,PrecursorIndex
True onset,2023-04-25,4,2.51911552135381,0.714366480447144,1.06683756308002,-0.123011952152594,1.61674100090048
True onset,2023-08-26,8,2.63123016268647,0.956380226278224,1.30174480193655,-0.0811368024984187,1.79380519448234
True onset,2024-04-13,4,3.55765751555925,2.54507949635383,1.03987649606002,-0.14463007538911,3.05136850595654
True onset,2024-05-13,5,3.53547227942173,2.57892027794822,1.06245916697115,0.00222776248236229,3.05719627868497
True onset,2024-07-12,7,3.98161953391756,0.938500095130746,1.00870051943627,-0.037309642243903,2.46005981452415
True onset,2024-08-29,8,3.4937672083639,0.976086600510326,1.1327962763062,-0.112473390225467,2.23492690443711
True onset,2024-12-14,12,2.50924671702451,1.02401984123646,1.07658726869442,-0.150907274829443,1.76663327913049
Failed P90 spell,1993-01-16,1,1.43272912137641,0.883574491592008,0.918015938374204,-0.104509985471108,1.15815180648421
Failed P90 spell,2008-07-11,7,0.78947700999582,0.515813930951487,1.02871471898304,-0.0311871470672081,0.652645470473653
Failed P90 spell,2008-12-09,12,1.07056257764217,0.86495491942579,1.15558295917459,-0.174586932205397,0.967758748533981
Failed P90 spell,2009-02-05,2,1.38197340134192,0.376766055093181,1.06272143521941,-0.053265426930788,0.879369728217551
Failed P90 spell,2009-11-11,11,1.42327664721146,1.50235990475666,1.22734570394766,-0.180656028479847,1.46281827598406
Failed P90 spell,2011-05-22,5,0.667107359115075,0.346076661892974,0.773743127108128,-0.0895851797873071,0.506592010504025
Failed P90 spell,2013-10-21,10,1.06675519294342,0.537279917647111,1.10679360523059,-0.074653201098825,0.802017555295266
Failed P90 spell,2013-10-25,10,1.14731994986653,0.671098405945168,1.24990549824932,-0.0192477359757721,0.909209177905849
Failed P90 spell,2014-04-19,4,0.936315588516144,0.726849819269265,1.38517051573909,0.0446399566232351,0.831582703892705
Failed P90 spell,2018-07-17,7,1.4181899883757,1.14275620015613,0.812956587210675,-0.145380029677207,1.28047309426591
Failed P90 spell,2018-07-25,7,1.03832288910943,1.60205951653245,1.04721307277031,-0.0360561983923407,1.32019120282094
Failed P90 spell,2020-12-13,12,2.28537583399658,0.339257512544064,1.29021263672341,-0.0490534184304806,1.31231667327032
Failed P90 spell,2023-07-18,7,2.56697766109912,0.612335219682173,0.602111971016696,-0.260734107906236,1.58965644039064
Failed P90 spell,2023-07-25,7,3.03166055024474,1.08690798791086,1.05879211168888,-0.0298248393170581,2.0592842690778
Near-miss P85-P90,1993-01-15,1,1.46832750460965,0.841475408168494,0.885891426515729,-0.124621704753483,1.15490145638907
Near-miss P85-P90,1995-01-09,1,0.682318394044234,1.74194333668653,1.13849778819132,0.00748790171794234,1.21213086536538
Near-miss P85-P90,1996-05-11,5,-0.521465307910201,1.54179911664534,0.851941409905239,-0.137997420167418,0.510166904367572
Near-miss P85-P90,1996-06-12,6,-0.0899961323212017,1.02839805321083,0.643955011478831,-0.20918817202043,0.469200960444814
Near-miss P85-P90,1997-05-08,5,-0.543070212184552,0.030949386280521,0.486103210717518,-0.372111395594159,-0.256060412952015
Near-miss P85-P90,1997-12-17,12,1.71679903162291,1.45942591112518,0.963127061156738,-0.171127436711215,1.58811247137405
Near-miss P85-P90,2003-07-18,7,0.136231429269239,0.974171596493373,1.00022338113203,-0.0464870390570198,0.555201512881306
Near-miss P85-P90,2004-08-21,8,0.165247354795782,0.725144514247416,0.841142634687152,-0.354889141785308,0.445195934521599
Near-miss P85-P90,2004-12-23,12,0.491846727342801,0.0354591442529529,0.76264953360881,-0.208206061750971,0.263652935797877
Near-miss P85-P90,2007-02-06,2,0.641663157568053,1.01878221602496,0.832926193058951,-0.178384156275623,0.830222686796506
Near-miss P85-P90,2008-01-29,1,1.20895699560598,0.671282724457256,0.808842388967325,-0.152637650720336,0.940119860031619
Near-miss P85-P90,2008-06-26,6,0.629541248777577,0.779914000499638,1.30496001659189,0.00836966717361491,0.704727624638608
Near-miss P85-P90,2008-10-17,10,1.36489919707807,-0.062560899080494,0.989469317231915,-0.152112687506725,0.651169148998787
Near-miss P85-P90,2008-12-08,12,1.10190322850361,0.816201879550224,1.15102513692373,-0.190297592812036,0.959052554026917
Near-miss P85-P90,2009-02-04,2,1.43505161487501,0.32248134487074,1.04317405554337,-0.057912519435207,0.878766479872874
Near-miss P85-P90,2009-03-08,3,1.03324995743559,0.639551312897525,1.07402886887877,-0.111153540143084,0.836400635166559
Near-miss P85-P90,2009-05-21,5,1.20368558738875,0.939466188497266,0.848636082103263,-0.0490541256782219,1.07157588794301
Near-miss P85-P90,2009-08-01,8,0.593645801883575,0.53956413496918,0.709393944174053,-0.224539493561456,0.566604968426377
Near-miss P85-P90,2009-11-12,11,1.42629022878904,1.56353782047344,1.31104631574321,-0.140355461349654,1.49491402463124
Near-miss P85-P90,2010-03-05,3,1.90540270261194,0.890421344843305,1.35569353543041,0.0314393699558654,1.39791202372762
Near-miss P85-P90,2010-03-29,3,0.834648424544097,0.280363780930214,0.820599945069348,-0.253986300559445,0.557506102737156
Near-miss P85-P90,2011-05-26,5,0.89120932726948,0.558763868332566,0.931730791774081,-0.0258530348756448,0.724986597801023
